Number,Street,Suburb,BinGroup

10,Rutland Ave,Lathlain,1
9,Rutland Ave,Lathlain,1
14,Rutland Ave,Lathlain,1
16,Rutland Ave,Lathlain,1
18,Rutland Ave,Lathlain,1
20,Rutland Ave,Lathlain,1
22,Rutland Ave,Lathlain,1
24,Rutland Ave,Lathlain,1
26,Rutland Ave,Lathlain,1
28,Rutland Ave,Lathlain,1
30,Rutland Ave,Lathlain,1
32,Rutland Ave,Lathlain,1
34,Rutland Ave,Lathlain,1
36,Rutland Ave,Lathlain,1
38,Rutland Ave,Lathlain,1
42,Rutland Ave,Lathlain,1
44,Rutland Ave,Lathlain,1
46,Rutland Ave,Lathlain,1
47,Rutland Ave,Lathlain,1
48,Rutland Ave,Lathlain,1
50,Rutland Ave,Lathlain,1
52,Rutland Ave,Lathlain,1
54B,Rutland Ave,Lathlain,1
62,Rutland Ave,Lathlain,1
62A,Rutland Ave,Lathlain,1
64,Rutland Ave,Lathlain,1
66,Rutland Ave,Lathlain,1
68,Rutland Ave,Lathlain,1
72,Rutland Ave,Lathlain,1
74,Rutland Ave,Lathlain,1
76,Rutland Ave,Lathlain,1
78,Rutland Ave,Lathlain,1
80,Rutland Ave,Lathlain,1
8,Rutland Ave,Lathlain,1
6,Rutland Ave,Lathlain,1
1A,Saleham St,Lathlain,1
3B,Saleham St,Lathlain,1
5,Saleham St,Lathlain,1
7B,Saleham St,Lathlain,1
9,Saleham St,Lathlain,1
12A,Saleham St,Lathlain,1
12,Saleham St,Lathlain,1
10,Saleham St,Lathlain,1
8,Saleham St,Lathlain,1
6,Saleham St,Lathlain,1
4A,Saleham St,Lathlain,1
2,Saleham St,Lathlain,1
2A,Saleham St,Lathlain,1
4,Saleham St,Lathlain,1
2B,Saleham St,Lathlain,1

14,Saleham St,Lathlain,2
16A,Saleham St,Lathlain,2
18,Saleham St,Lathlain,2
20,Saleham St,Lathlain,2
22,Saleham St,Lathlain,2
22B,Saleham St,Lathlain,2
24,Saleham St,Lathlain,2
24A,Saleham St,Lathlain,2
26,Saleham St,Lathlain,2
28,Saleham St,Lathlain,2
30,Saleham St,Lathlain,2
32,Saleham St,Lathlain,2
34,Saleham St,Lathlain,2
36,Saleham St,Lathlain,2
38B,Saleham St,Lathlain,2
40,Saleham St,Lathlain,2
40A,Saleham St,Lathlain,2
42A,Saleham St,Lathlain,2
44,Saleham St,Lathlain,2
46,Saleham St,Lathlain,2
43,Saleham St,Lathlain,2
41,Saleham St,Lathlain,2
41A,Saleham St,Lathlain,2
39,Saleham St,Lathlain,2
37,Saleham St,Lathlain,2
35,Saleham St,Lathlain,2
35A,Saleham St,Lathlain,2
33,Saleham St,Lathlain,2
31A,Saleham St,Lathlain,2
29A,Saleham St,Lathlain,2
27,Saleham St,Lathlain,2
25A,Saleham St,Lathlain,2
25,Saleham St,Lathlain,2
21,Saleham St,Lathlain,2
21A,Saleham St,Lathlain,2
19,Saleham St,Lathlain,2
17B,Saleham St,Lathlain,2
15B,Saleham St,Lathlain,2
13,Saleham St,Lathlain,2
13A,Saleham St,Lathlain,2
11,Saleham St,Lathlain,2

